"ResponseId","name","warm","study","competent"
"R_1In0NyPW8JzSJox","leroy","51","bertrand","65"
"R_1In0NyPW8JzSJox","rasheed","71","bertrand","53"
"R_1In0NyPW8JzSJox","tremayne","80","bertrand","44"
"R_1In0NyPW8JzSJox","tyrone","50","bertrand","39"
"R_10OCJKLpqub1B6O","allison","40","bertrand","60"
"R_10OCJKLpqub1B6O","anne","60","bertrand","70"
"R_10OCJKLpqub1B6O","carrie","30","bertrand","60"
"R_10OCJKLpqub1B6O","emily","55","bertrand","60"
"R_10OCJKLpqub1B6O","jill","20","bertrand","70"
"R_10OCJKLpqub1B6O","laurie","100","bertrand","80"
"R_10OCJKLpqub1B6O","kristen","30","bertrand","40"
"R_10OCJKLpqub1B6O","meredith","90","bertrand","100"
"R_10OCJKLpqub1B6O","sarah","40","bertrand","70"
"R_10OCJKLpqub1B6O","brad","40","bertrand","70"
"R_10OCJKLpqub1B6O","brendan","40","bertrand","50"
"R_10OCJKLpqub1B6O","geoffrey","75","bertrand","90"
"R_10OCJKLpqub1B6O","greg","70","bertrand","60"
"R_10OCJKLpqub1B6O","brett","60","bertrand","100"
"R_10OCJKLpqub1B6O","jay","65","bertrand","100"
"R_10OCJKLpqub1B6O","matthew","70","bertrand","90"
"R_10OCJKLpqub1B6O","neil","50","bertrand","80"
"R_10OCJKLpqub1B6O","todd","80","bertrand","90"
"R_10OCJKLpqub1B6O","aisha","45","bertrand","50"
"R_10OCJKLpqub1B6O","ebony","20","bertrand","20"
"R_10OCJKLpqub1B6O","keisha","10","bertrand","40"
"R_10OCJKLpqub1B6O","kenya","10","bertrand","40"
"R_10OCJKLpqub1B6O","lakisha","70","bertrand","30"
"R_10OCJKLpqub1B6O","latonya","20","bertrand","20"
"R_10OCJKLpqub1B6O","latoya","30","bertrand","20"
"R_10OCJKLpqub1B6O","tamika","30","bertrand","70"
"R_10OCJKLpqub1B6O","tanisha","40","bertrand","30"
"R_10OCJKLpqub1B6O","darnell","10","bertrand","40"
"R_10OCJKLpqub1B6O","hakim","40","bertrand","15"
"R_10OCJKLpqub1B6O","jamal","60","bertrand","40"
"R_10OCJKLpqub1B6O","jermaine","60","bertrand","40"
"R_10OCJKLpqub1B6O","kareem","40","bertrand","10"
"R_10OCJKLpqub1B6O","leroy","70","bertrand","35"
"R_10OCJKLpqub1B6O","rasheed","10","bertrand","40"
"R_10OCJKLpqub1B6O","tremayne","10","bertrand","30"
"R_10OCJKLpqub1B6O","tyrone","30","bertrand","30"
"R_2tlrDPgSOnr1EfR","allison","100","bertrand","22"
"R_2tlrDPgSOnr1EfR","anne","54","bertrand","45"
"R_2tlrDPgSOnr1EfR","carrie","77","bertrand","50"
"R_2tlrDPgSOnr1EfR","emily","97","bertrand","83"
"R_2tlrDPgSOnr1EfR","jill","88","bertrand","80"
"R_2tlrDPgSOnr1EfR","laurie","87","bertrand","92"
"R_2tlrDPgSOnr1EfR","kristen","65","bertrand","26"
"R_2tlrDPgSOnr1EfR","meredith","57","bertrand","61"
"R_2tlrDPgSOnr1EfR","sarah","100","bertrand","33"
"R_2tlrDPgSOnr1EfR","brad","15","bertrand","23"
"R_2tlrDPgSOnr1EfR","brendan","63","bertrand","0"
"R_2tlrDPgSOnr1EfR","geoffrey","46","bertrand","100"
"R_2tlrDPgSOnr1EfR","greg","27","bertrand","26"
"R_2tlrDPgSOnr1EfR","brett","57","bertrand","66"
"R_2tlrDPgSOnr1EfR","jay","71","bertrand","72"
"R_2tlrDPgSOnr1EfR","matthew","74","bertrand","81"
"R_2tlrDPgSOnr1EfR","neil","37","bertrand","15"
"R_2tlrDPgSOnr1EfR","todd","13","bertrand","9"
"R_2tlrDPgSOnr1EfR","aisha","59","bertrand","50"
"R_2tlrDPgSOnr1EfR","ebony","100","bertrand","100"
"R_2tlrDPgSOnr1EfR","keisha","15","bertrand","6"
"R_2tlrDPgSOnr1EfR","kenya","93","bertrand","85"
"R_2tlrDPgSOnr1EfR","lakisha","31","bertrand","16"
"R_2tlrDPgSOnr1EfR","latonya","22","bertrand","56"
"R_2tlrDPgSOnr1EfR","latoya","38","bertrand","73"
"R_2tlrDPgSOnr1EfR","tamika","90","bertrand","95"
"R_2tlrDPgSOnr1EfR","tanisha","18","bertrand","27"
"R_2tlrDPgSOnr1EfR","darnell","85","bertrand","10"
"R_2tlrDPgSOnr1EfR","hakim","30","bertrand","27"
"R_2tlrDPgSOnr1EfR","jamal","87","bertrand","100"
"R_2tlrDPgSOnr1EfR","jermaine","45","bertrand","100"
"R_2tlrDPgSOnr1EfR","kareem","82","bertrand","86"
"R_2tlrDPgSOnr1EfR","leroy","27","bertrand","47"
"R_2tlrDPgSOnr1EfR","rasheed","35","bertrand","100"
"R_2tlrDPgSOnr1EfR","tremayne","36","bertrand","7"
"R_2tlrDPgSOnr1EfR","tyrone","5","bertrand","5"
"R_3njCJBJYZvBMuIk","allison","50","bertrand","50"
"R_3njCJBJYZvBMuIk","anne","61","bertrand","50"
"R_3njCJBJYZvBMuIk","carrie","60","bertrand","50"
"R_3njCJBJYZvBMuIk","emily","60","bertrand","50"
"R_3njCJBJYZvBMuIk","jill","60","bertrand","50"
"R_3njCJBJYZvBMuIk","laurie","60","bertrand","50"
"R_3njCJBJYZvBMuIk","kristen","60","bertrand","50"
"R_3njCJBJYZvBMuIk","meredith","60","bertrand","50"
"R_3njCJBJYZvBMuIk","sarah","60","bertrand","50"
"R_3njCJBJYZvBMuIk","brad","50","bertrand","50"
"R_3njCJBJYZvBMuIk","brendan","50","bertrand","50"
"R_3njCJBJYZvBMuIk","geoffrey","50","bertrand","50"
"R_3njCJBJYZvBMuIk","greg","50","bertrand","50"
"R_3njCJBJYZvBMuIk","brett","50","bertrand","50"
"R_3njCJBJYZvBMuIk","jay","50","bertrand","50"
"R_3njCJBJYZvBMuIk","matthew","50","bertrand","50"
"R_3njCJBJYZvBMuIk","neil","50","bertrand","50"
"R_3njCJBJYZvBMuIk","todd","50","bertrand","50"
"R_3njCJBJYZvBMuIk","aisha","60","bertrand","50"
"R_3njCJBJYZvBMuIk","ebony","60","bertrand","50"
"R_3njCJBJYZvBMuIk","keisha","60","bertrand","50"
"R_3njCJBJYZvBMuIk","kenya","60","bertrand","50"
"R_3njCJBJYZvBMuIk","lakisha","60","bertrand","50"
"R_3njCJBJYZvBMuIk","latonya","60","bertrand","50"
"R_3njCJBJYZvBMuIk","latoya","60","bertrand","50"
"R_3njCJBJYZvBMuIk","tamika","60","bertrand","50"
"R_3njCJBJYZvBMuIk","tanisha","60","bertrand","50"
"R_3njCJBJYZvBMuIk","darnell","50","bertrand","50"
"R_3njCJBJYZvBMuIk","hakim","50","bertrand","50"
"R_3njCJBJYZvBMuIk","jamal","50","bertrand","50"
"R_3njCJBJYZvBMuIk","jermaine","50","bertrand","50"
"R_3njCJBJYZvBMuIk","kareem","50","bertrand","50"
"R_3njCJBJYZvBMuIk","leroy","50","bertrand","50"
"R_3njCJBJYZvBMuIk","rasheed","50","bertrand","50"
"R_3njCJBJYZvBMuIk","tremayne","50","bertrand","50"
"R_3njCJBJYZvBMuIk","tyrone","50","bertrand","50"
"R_7WnEBh4SKmBX7Wh","allison","50","bertrand","63"
"R_7WnEBh4SKmBX7Wh","anne","28","bertrand","60"
"R_7WnEBh4SKmBX7Wh","carrie","26","bertrand","79"
"R_7WnEBh4SKmBX7Wh","emily","42","bertrand","59"
"R_7WnEBh4SKmBX7Wh","jill","17","bertrand","55"
"R_7WnEBh4SKmBX7Wh","laurie","79","bertrand","53"
"R_7WnEBh4SKmBX7Wh","kristen","30","bertrand","65"
"R_7WnEBh4SKmBX7Wh","meredith","53","bertrand","27"
"R_7WnEBh4SKmBX7Wh","sarah","42","bertrand","68"
"R_7WnEBh4SKmBX7Wh","brad","73","bertrand","54"
"R_7WnEBh4SKmBX7Wh","brendan","90","bertrand","57"
"R_7WnEBh4SKmBX7Wh","geoffrey","80","bertrand","53"
"R_7WnEBh4SKmBX7Wh","greg","45","bertrand","53"
"R_7WnEBh4SKmBX7Wh","brett","70","bertrand","73"
"R_7WnEBh4SKmBX7Wh","jay","57","bertrand","66"
"R_7WnEBh4SKmBX7Wh","matthew","13","bertrand","31"
"R_7WnEBh4SKmBX7Wh","neil","59","bertrand","68"
"R_7WnEBh4SKmBX7Wh","todd","61","bertrand","56"
"R_7WnEBh4SKmBX7Wh","aisha","89","bertrand","84"
"R_7WnEBh4SKmBX7Wh","ebony","47","bertrand","41"
"R_7WnEBh4SKmBX7Wh","keisha","75","bertrand","73"
"R_7WnEBh4SKmBX7Wh","kenya","36","bertrand","47"
"R_7WnEBh4SKmBX7Wh","lakisha","61","bertrand","72"
"R_7WnEBh4SKmBX7Wh","latonya","50","bertrand","61"
"R_7WnEBh4SKmBX7Wh","latoya","35","bertrand","69"
"R_7WnEBh4SKmBX7Wh","tamika","66","bertrand","71"
